time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Special,4,686,0,0,59,8.60058,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,State-funded primary,54,17301,1,0.00578,164,0.94792,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Total,241,86772,86,0.09911,5976,6.88701,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Special,3,399,0,0,17,4.26065,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,State-funded secondary,28,22534,34,0.15088,1953,8.6669,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Total,77,39897,46,0.1153,3674,9.20871,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,State-funded primary,448,121891,12,0.00984,2069,1.69742,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,State-funded secondary,81,93417,86,0.09206,12844,13.7491,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Total,55,30894,18,0.05826,1541,4.98802,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Special,6,711,0,0,47,6.61041,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Special,6,953,2,0.20986,162,16.99895,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,State-funded secondary,17,18016,42,0.23313,4999,27.74756,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Special,4,600,1,0.16667,52,8.66667,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,State-funded secondary,8,9066,18,0.19854,829,9.14405,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,State-funded secondary,18,16511,43,0.26043,2700,16.35273,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,State-funded secondary,10,8286,65,0.78446,4975,60.04103,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,State-funded primary,60,19435,5,0.02573,178,0.91587,,
